默存,8.0,2017-12-8 23:24:54,才女依然是才女……道尽人生百味。
Cuchilo,8.0,2017-12-8 20:39:01,平淡、柔和、舒缓、细腻
沫儿花开,,2017-12-8 13:39:43,朴实的故事，真实的人生
大水,8.2,2017-12-8 8:18:35,她妈妈去世，想和爸爸合葬，但是妈妈是爸爸的二房，而大房是姥姥，在老家独守着一个空院子，孤单终老。她的念想就是：他每月都给家寄钱，没落过一个月。这就是“情书”，而对于“二房”，他是满满的深情款款。而张艾嘉和丈夫，年少相识，爱情早已深入骨髓，以致成为习惯，直到丈夫开着花房姑娘，希望和她开车流浪，她才哭出声来，原来，那个梦里的男人就是丈夫年轻的模样。而女儿和歌手，是年轻的“她们”承受期待承受爱情，但“一辈子到底有多长”
chiffon,8.0,2017-12-7 17:21:13,故事线稍多，有些最后没顾及。媒体的存在让我不是很能入戏。
C·R7,8.0,2017-12-7 11:48:42,应该是今年最好看的国产片；全片情感细腻却不煽情，整个观影过程很舒服，说的都是家长里短的生活事儿，又好气又好笑，有着浓浓的人情味；20、50、80三个年代的女性爱情、亲情观，从激烈碰撞再到相互理解，过程引人深思；对政府窗口部门踢皮球、媒体博眼球不择手段辛辣讽刺；最后，田壮壮真是一名被导演职业耽误的好演员
kiki204629,8.4,2017-12-6 11:38:10,姥姥点着脚尖仰望外公的照片，像是凝视一个陌生人；抹布擦糊了湿水照片上外公的面容；片尾张艾嘉田壮壮的对话。这几段印象极深刻，张艾嘉用细腻的情感传达了家庭成员之间的羁绊，三代女性的描摹归结成一点，就是女人是为爱而生的动物。在这个做什么的都要开证明的年代，爱情用什么来证明呢？
艾珂,8.0,2017-12-6 11:24:03,我这拧巴的感情观原来是时代的错啊，这样想来舒心多了。
小四6171,9.0,2017-12-6 6:11:39,详见长影评，张艾嘉越老气质越好了。亲爱的刘若英可以接她班，学车那段笑惨了。宋宁峰真帅！田壮壮大师是被导演耽误的影帝。剧本非常扎实，温情又带着小幽默的故事，很喜欢。论家庭片如何保持悬疑，拍得好看！前面一直没让阿祖说话，我觉得妙，不必要的就不要，一种简洁的美，适当的沉默有利于塑造人物。
神秘的L君,8.0,2017-12-5 18:48:50,中国人讲究人情，就算法理上亏些，总归有个人情不是
leechen_et,8.0,2017-12-5 16:49:27,平凡细致的剧情，很自然的把观众带到电影的生活里，岁月的流逝社会的发展每代人都有各自一代人对爱情和亲情的坚持。
zyxyl6688,7.0,2017-12-5 14:30:59,在大陆拍的台湾电影，有些镜头转换的愣了点。
默存,8.0,2017-12-8 23:24:54,才女依然是才女……道尽人生百味。
Cuchilo,8.0,2017-12-8 20:39:01,平淡、柔和、舒缓、细腻
沫儿花开,,2017-12-8 13:39:43,朴实的故事，真实的人生
大水,8.2,2017-12-8 8:18:35,她妈妈去世，想和爸爸合葬，但是妈妈是爸爸的二房，而大房是姥姥，在老家独守着一个空院子，孤单终老。她的念想就是：他每月都给家寄钱，没落过一个月。这就是“情书”，而对于“二房”，他是满满的深情款款。而张艾嘉和丈夫，年少相识，爱情早已深入骨髓，以致成为习惯，直到丈夫开着花房姑娘，希望和她开车流浪，她才哭出声来，原来，那个梦里的男人就是丈夫年轻的模样。而女儿和歌手，是年轻的“她们”承受期待承受爱情，但“一辈子到底有多长”
chiffon,8.0,2017-12-7 17:21:13,故事线稍多，有些最后没顾及。媒体的存在让我不是很能入戏。
